LL XC,HL XC,HL Atoms,Post-HF Method,Basis,OH-H Distance,Total DFT Energy,Total Time
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.9620306864886796,-14898.084912366574,573.6916987895966
PBE,PBE0,36,RPA,NAO-VCC-3Z,4.362030686488679,-14897.98816349333,561.937867641449
PBE,PBE0,36,RPA,NAO-VCC-3Z,4.162030686488679,-14897.994248069439,561.9736678600311
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.762030686488679,-14898.011508803145,561.9386579990387
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.962030686488679,-14898.001860394043,562.8394870758057
PBE,PBE0,36,RPA,NAO-VCC-3Z,4.062030686488679,-14897.997838635933,564.2140893936157
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.86203068648868,-14898.006394296577,564.5296175479889
PBE,PBE0,36,RPA,NAO-VCC-3Z,4.2620306864886786,-14897.991037303282,568.1695668697357
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.662030686488679,-14898.017281296827,568.6654765605927
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.2620306864886794,-14910.24415685191,2304.7810728549957
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.4620306864886796,-14910.765141352631,2311.734563589096
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.6620306864886796,-14910.94327129361,2266.9288108348846
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.5620306864886795,-14910.880541312594,2356.281556367874
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.3620306864886795,-14910.569931647,2357.8153228759766
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.8620306864886793,-14910.978369767847,2339.0837121009827
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.9620306864886794,-14910.9712083999,2352.4380247592926
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.7620306864886794,-14910.971771004375,2370.7013278007507
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.362030686488679,-14910.896224568029,2342.380670070648
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.16203068648868,-14910.937690347127,2344.544219017029
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.0620306864886793,-14910.95507210912,2361.6007931232452
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.262030686488679,-14910.917068496005,2364.1412031650543
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.6620306864886794,-14910.839662155524,2289.5254838466644
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.5620306864886793,-14910.857149870606,2299.5198562145233
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.7620306864886794,-14910.823704170347,2318.0195393562317
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.462030686488679,-14910.87607893823,2340.264970302582
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.5620306864886793,-14910.751307872824,2318.537070274353
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.86203068648868,-14910.735010021534,2329.966022014618
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.9620306864886796,-14910.796213082067,2329.988171815872
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.162030686488679,-14910.774026262916,2333.314824104309
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.762030686488679,-14910.739874110333,2335.1640162467957
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.2620306864886794,-14910.773956726736,2336.763076066971
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.662030686488679,-14910.74527821539,2337.3829593658447
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.4620306864886787,-14910.758030412917,2337.9000816345215
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.0620306864886793,-14910.78450950937,2352.724677324295
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.362030686488679,-14910.765545016011,2352.5981686115265
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.962030686488679,-14910.730628110723,2353.8292224407196
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.862030686488679,-14910.809244052245,2354.943555831909
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.062030686488679,-14910.726677215609,2260.844315767288
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.2620306864886786,-14910.719846454633,2287.0125534534454
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.162030686488679,-14910.723095309437,2326.1622817516327
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.362030686488679,-14910.716898796503,2350.055427312851
PBE,PBE0,36,RPA,NAO-VCC-3Z,0.0,-7448.991285567335,140.35694217681885
PBE,PBE0,36,RPA,NAO-VCC-4Z,0.0,-7455.354455187649,361.97318053245544
PBE,PBE0,18,RPA,NAO-VCC-5Z,0.0,-7457.4792434560695,973.3708231449127
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.9620306864886796,-14915.034437259847,7166.631851434708
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.0620306864886793,-14915.02397501267,7217.171469211578
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.2620306864886794,-14914.429846808594,7297.264744281769
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.862030686488679,-14915.041255806696,7304.960359334946
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.3620306864886795,-14914.756947454707,7308.941847324371
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.462030686488679,-14915.102520022663,7326.353657722473
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.6620306864886794,-14915.06900847457,7333.771994829178
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.9620306864886794,-14915.18192698275,7339.325767278671
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.5620306864886793,-14915.08508969618,7382.501043319702
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.2620306864886794,-14915.006457579038,7385.065638780594
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.8620306864886793,-14915.18587175005,7396.744334459305
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.262030686488679,-14915.140013670209,7405.941694259644
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.86203068648868,-14914.97314142037,7406.068817615509
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.16203068648868,-14915.153554081271,7435.305598974228
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.962030686488679,-14914.969484024994,7437.2254955768585
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.6620306864886796,-14915.14337443425,7458.036041021347
PBE,PBE0,36,RPA,NAO-VCC-5Z,4.062030686488679,-14914.966209188018,7458.779028177261
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.0620306864886793,-14915.168350964592,7458.272629499435
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.5620306864886793,-14914.986915785214,7464.963087320328
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.362030686488679,-14915.12101814512,7466.170323848724
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.362030686488679,-14914.99915402058,7470.716220378876
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.762030686488679,-14914.97722474616,7471.098203659058
PBE,PBE0,36,RPA,NAO-VCC-5Z,4.362030686488679,-14914.95821280065,7479.010575532913
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.662030686488679,-14914.981788108773,7503.809957742691
PBE,PBE0,36,RPA,NAO-VCC-5Z,4.2620306864886786,-14914.960602600047,7512.203500747681
PBE,PBE0,36,RPA,NAO-VCC-5Z,4.162030686488679,-14914.963259263965,7512.19002199173
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.162030686488679,-14915.01468979007,7516.596296310425
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.4620306864886787,-14914.992673318064,7531.599064826965
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.7620306864886794,-14915.05439826369,7538.708256244659
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.7620306864886794,-14915.175747851425,7542.018794775009
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.4620306864886796,-14914.956587849862,7553.314531803131
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.5620306864886795,-14915.07638012172,7560.984739780426
PBE,PBE0,18,RPA,NAO-VCC-4Z,0.0,-7455.354455187744,308.8476369380951
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.162030686488679,-14910.723095309453,2119.373895406723
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.7620306864886794,-14910.823704170214,2152.6292345523834
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.7620306864886794,-14910.971771004455,2207.815712451935
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.062030686488679,-14910.72667721563,2210.3873381614685
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.86203068648868,-14910.735010021563,2232.3998289108276
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.4620306864886796,-14910.765141352615,2240.0074849128723
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.6620306864886794,-14910.839662155484,2248.1107783317566
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.462030686488679,-14910.876078938127,2252.895275115967
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.5620306864886795,-14910.880541312445,2254.8170092105865
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.962030686488679,-14910.730628110741,2256.039524078369
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.9620306864886794,-14910.971208399933,2259.3153636455536
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.2620306864886794,-14910.244156851928,2263.8238427639008
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.0620306864886793,-14910.955072109147,2278.8783192634583
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.2620306864886794,-14910.773956726762,2279.292856693268
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.2620306864886786,-14910.719846454695,2291.9420182704926
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.162030686488679,-14910.774026262801,2292.080194234848
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.662030686488679,-14910.74527821526,2297.263381242752
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.16203068648868,-14910.937690347078,2304.010903596878
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.4620306864886787,-14910.758030412822,2307.5181663036346
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.362030686488679,-14910.765545016015,2308.3158025741577
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.5620306864886793,-14910.751307872839,2312.2525198459625
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.9620306864886796,-14910.796213082203,2324.236812353134
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.862030686488679,-14910.809244052203,2331.8188297748566
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.762030686488679,-14910.739874110272,2333.44793343544
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.3620306864886795,-14910.569931647098,2335.32364153862
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.5620306864886793,-14910.857149870582,2336.5272977352142
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.8620306864886793,-14910.978369768069,2337.3949103355408
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.262030686488679,-14910.91706849582,2338.903464078903
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.6620306864886796,-14910.943271293678,2340.154161453247
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.0620306864886793,-14910.784509509327,2342.2193882465363
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.362030686488679,-14910.896224568101,2347.7606580257416
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.362030686488679,-14910.716898796498,2371.6661901474
PBE,PBE0,18,RPA,NAO-VCC-3Z,0.0,-7448.991285567395,83.0690131187439
PBE,PBE0,18,RPA,NAO-VCC-4Z,0.0,-7455.354455187755,299.26895403862
PBE,PBE0,18,RPA,NAO-VCC-5Z,0.0,-7457.479243456007,1009.3554930686951
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.5620306864886795,-14898.201879880402,539.51171708107
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.8620306864886793,-14898.288593589617,561.7990112304688
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.6620306864886794,-14898.13425370683,565.8882384300232
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.9620306864886794,-14898.27763449187,570.0711758136749
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.362030686488679,-14898.196905646613,584.0975744724274
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.5620306864886793,-14898.153838928809,585.3942067623138
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.16203068648868,-14898.241921594186,585.8887708187103
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.7620306864886794,-14898.116221618993,586.4563045501709
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.262030686488679,-14898.219567891685,589.3221471309662
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.462030686488679,-14898.174821056431,589.8566000461578
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.0620306864886793,-14898.262531711325,592.1135623455048
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.6620306864886796,-14898.260202396552,592.4619994163513
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.4620306864886796,-14898.091670231983,597.2908306121826
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.7620306864886794,-14898.285012936252,597.7596538066864
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.3620306864886795,-14897.902374305833,600.9843194484711
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.2620306864886794,-14897.593402253076,603.9469332695007
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.962030686488679,-14898.001860394043,534.1593260765076
PBE,PBE0,36,RPA,NAO-VCC-3Z,4.2620306864886786,-14897.991037303276,572.4054203033447
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.86203068648868,-14898.006394296463,578.5708296298981
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.2620306864886794,-14898.048994479754,578.9875695705414
PBE,PBE0,36,RPA,NAO-VCC-3Z,4.362030686488679,-14897.988163493324,579.1107556819916
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.162030686488679,-14898.059617708004,582.3752906322479
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.862030686488679,-14898.099780801303,583.233918428421
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.362030686488679,-14898.039561815905,583.7145383358002
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.9620306864886796,-14898.084912366538,583.9934556484222
PBE,PBE0,36,RPA,NAO-VCC-3Z,4.062030686488679,-14897.997838635918,584.2967324256897
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.762030686488679,-14898.01150880322,584.8267343044281
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.4620306864886787,-14898.031209289133,586.0063998699188
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.5620306864886793,-14898.023817937417,587.0986721515656
PBE,PBE0,36,RPA,NAO-VCC-3Z,4.162030686488679,-14897.994248069508,588.7678384780884
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.662030686488679,-14898.01728129678,589.5703365802765
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.0620306864886793,-14898.071554705373,594.9059290885925
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.3620306864886795,-14910.569931647018,2279.794788837433
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.262030686488679,-14910.917068495935,2334.862471818924
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.16203068648868,-14910.937690347062,2346.8352468013763
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.7620306864886794,-14910.823704170174,2367.0950767993927
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.5620306864886793,-14910.857149870597,2393.51261138916
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.4620306864886796,-14910.765141352667,2403.0170266628265
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.5620306864886795,-14910.880541312483,2419.622824907303
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.6620306864886794,-14910.839662155511,2423.826298713684
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.6620306864886796,-14910.943271293678,2430.328682899475
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.362030686488679,-14910.896224568081,2436.211907148361
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.9620306864886794,-14910.97120839992,2438.274177789688
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.7620306864886794,-14910.97177100452,2439.4022886753082
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.462030686488679,-14910.876078938129,2440.3959741592407
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.2620306864886794,-14910.24415685191,2454.9459269046783
PBE,PBE0,36,RPA,NAO-VCC-4Z,1.8620306864886793,-14910.978369768141,2460.4447813034058
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.0620306864886793,-14910.955072109142,2467.6562473773956
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.86203068648868,-14910.735010021574,2289.084621191025
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.5620306864886793,-14910.751307872732,2300.435795545578
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.662030686488679,-14910.745278215329,2319.3339960575104
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.162030686488679,-14910.774026262849,2319.7064201831818
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.162030686488679,-14910.723095309455,2320.889533519745
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.0620306864886793,-14910.784509509342,2328.412629365921
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.9620306864886796,-14910.796213082209,2332.8024156093597
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.2620306864886794,-14910.773956726736,2336.523547410965
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.762030686488679,-14910.739874110352,2351.270341157913
PBE,PBE0,36,RPA,NAO-VCC-4Z,2.862030686488679,-14910.809244052152,2368.9689135551453
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.2620306864886786,-14910.71984645466,2385.201917409897
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.362030686488679,-14910.765545015995,2391.6961722373962
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.062030686488679,-14910.726677215593,2392.808623313904
PBE,PBE0,36,RPA,NAO-VCC-4Z,4.362030686488679,-14910.716898796489,2413.929731607437
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.962030686488679,-14910.730628110754,2418.3543767929077
PBE,PBE0,36,RPA,NAO-VCC-4Z,3.4620306864886787,-14910.758030412831,2424.6210584640503
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.86203068648868,-14914.973141420389,8383.404901742935
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.7620306864886794,-14915.175747851305,8463.986540317535
PBE,PBE0,36,RPA,NAO-VCC-5Z,4.062030686488679,-14914.966209187896,8472.626097917557
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.6620306864886794,-14915.069008474427,8504.230998516083
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.16203068648868,-14915.153554081444,8589.547668933868
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.862030686488679,-14915.041255806502,8589.201616287231
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.7620306864886794,-14915.054398263708,8610.321622610092
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.262030686488679,-14915.14001367051,8613.884720087051
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.9620306864886796,-14915.034437259825,8627.005547523499
PBE,PBE0,36,RPA,NAO-VCC-5Z,4.2620306864886786,-14914.960602600018,8636.481812953949
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.0620306864886793,-14915.168350964526,8701.985931158066
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.2620306864886794,-14915.006457579206,8704.017718791962
PBE,PBE0,36,RPA,NAO-VCC-5Z,4.362030686488679,-14914.958212800693,8725.085612773895
PBE,PBE0,36,RPA,NAO-VCC-5Z,4.162030686488679,-14914.963259263888,8753.560063362122
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.5620306864886793,-14914.98691578523,8764.835881710052
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.362030686488679,-14914.999154020637,8783.6359000206
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.4620306864886787,-14914.992673318016,8790.34457063675
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.5620306864886793,-14915.085089696178,8802.573932647705
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.962030686488679,-14914.969484025107,8808.40547299385
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.162030686488679,-14915.014689790254,8809.618465662003
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.0620306864886793,-14915.023975012438,8816.148144245148
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.762030686488679,-14914.977224746319,8813.648178815842
PBE,PBE0,36,RPA,NAO-VCC-5Z,3.662030686488679,-14914.981788108546,8817.130395412445
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.5620306864886795,-14915.076380121649,8818.696519851685
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.362030686488679,-14915.12101814511,8821.843366622925
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.9620306864886794,-14915.1819269827,8822.92924284935
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.4620306864886796,-14914.95658785017,8824.157044172287
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.8620306864886793,-14915.185871749967,8825.11449599266
PBE,PBE0,36,RPA,NAO-VCC-5Z,2.462030686488679,-14915.102520022701,8842.05714583397
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.6620306864886796,-14915.143374434114,8844.251705884933
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.3620306864886795,-14914.756947454776,8847.905519723892
PBE,PBE0,36,RPA,NAO-VCC-5Z,1.2620306864886794,-14914.429846808818,8894.332722902298
